experiment,image_index,channel,avg_intensity,median_intensity,min_intensity,area,base_name
02132025_Cen-ZF_select_HCT116_session2,47,0,4493.786524953345,4236.0,1309,2375653,02132025_Cen-ZF_select_HCT116_NT-GFP_Cen13-ZF2b_1_MMStack_Pos9_MIP
02132025_Cen-ZF_select_HCT116_session2,47,1,2192.8906697434077,1220.0,452,2375653,02132025_Cen-ZF_select_HCT116_NT-GFP_Cen13-ZF2b_1_MMStack_Pos9_MIP
02132025_Cen-ZF_select_HCT116_session2,48,0,3686.282676088731,3374.0,1384,2613924,02132025_Cen-ZF_select_HCT116_NT-GFP_CenY-ZF4b_1_MMStack_Pos1_MIP
02132025_Cen-ZF_select_HCT116_session2,48,1,1205.8795388107183,758.0,305,2613924,02132025_Cen-ZF_select_HCT116_NT-GFP_CenY-ZF4b_1_MMStack_Pos1_MIP
02132025_Cen-ZF_select_HCT116_session2,49,0,5436.388358547912,5141.0,1416,2159568,02132025_Cen-ZF_select_HCT116_NT-GFP_Cen22-ZF1a_1_MMStack_Pos1_MIP
02132025_Cen-ZF_select_HCT116_session2,49,1,1299.2504825051064,807.0,315,2159568,02132025_Cen-ZF_select_HCT116_NT-GFP_Cen22-ZF1a_1_MMStack_Pos1_MIP
02132025_Cen-ZF_select_HCT116_session2,50,0,6603.923524131248,6457.0,1624,2186731,02132025_Cen-ZF_select_HCT116_NT-GFP_Cen19-ZF1c_1_MMStack_Pos1_MIP
02132025_Cen-ZF_select_HCT116_session2,50,1,588.7497005801816,584.0,343,2186731,02132025_Cen-ZF_select_HCT116_NT-GFP_Cen19-ZF1c_1_MMStack_Pos1_MIP
02132025_Cen-ZF_select_HCT116_session2,51,0,4991.204115926218,4720.0,1524,2123081,02132025_Cen-ZF_select_HCT116_NT-GFP_Cen21-ZF2c_1_MMStack_Pos5_MIP
02132025_Cen-ZF_select_HCT116_session2,51,1,1331.156503608691,869.0,365,2123081,02132025_Cen-ZF_select_HCT116_NT-GFP_Cen21-ZF2c_1_MMStack_Pos5_MIP
02132025_Cen-ZF_select_HCT116_session2,52,0,4185.511847170513,4003.0,1470,2036278,02132025_Cen-ZF_select_HCT116_NT-GFP_CenY-ZF3c_1_MMStack_Pos9_MIP
02132025_Cen-ZF_select_HCT116_session2,52,1,1196.220241271234,743.0,330,2036278,02132025_Cen-ZF_select_HCT116_NT-GFP_CenY-ZF3c_1_MMStack_Pos9_MIP
02132025_Cen-ZF_select_HCT116_session2,53,0,5430.197249636866,5227.0,1425,2253011,02132025_Cen-ZF_select_HCT116_NT-GFP_Cen20-ZF2b_1_MMStack_Pos4_MIP
02132025_Cen-ZF_select_HCT116_session2,53,1,924.9200817943591,723.0,380,2253011,02132025_Cen-ZF_select_HCT116_NT-GFP_Cen20-ZF2b_1_MMStack_Pos4_MIP
02132025_Cen-ZF_select_HCT116_session2,54,0,3637.170534045661,3555.0,896,2498851,02132025_Cen-ZF_select_HCT116_NT-GFP_TLP1c_1_MMStack_Pos6_MIP
02132025_Cen-ZF_select_HCT116_session2,54,1,1074.947637113072,774.0,319,2498851,02132025_Cen-ZF_select_HCT116_NT-GFP_TLP1c_1_MMStack_Pos6_MIP
02132025_Cen-ZF_select_HCT116_session2,55,0,4617.125799052108,4392.0,1283,2306170,02132025_Cen-ZF_select_HCT116_NT-GFP_CenY-ZF4c_1_MMStack_Pos3_MIP
02132025_Cen-ZF_select_HCT116_session2,55,1,1207.5175954071035,756.0,349,2306170,02132025_Cen-ZF_select_HCT116_NT-GFP_CenY-ZF4c_1_MMStack_Pos3_MIP
02132025_Cen-ZF_select_HCT116_session2,56,0,5713.892514945839,5251.0,1370,2472305,02132025_Cen-ZF_select_HCT116_NT-GFP_Cen18-ZF1e_1_MMStack_Pos9_MIP
02132025_Cen-ZF_select_HCT116_session2,56,1,806.4989912064265,691.0,311,2472305,02132025_Cen-ZF_select_HCT116_NT-GFP_Cen18-ZF1e_1_MMStack_Pos9_MIP
02132025_Cen-ZF_select_HCT116_session2,57,0,4733.91237803934,4490.0,1409,2497515,02132025_Cen-ZF_select_HCT116_NT-GFP_CenX-ZF2b_1_MMStack_Pos7_MIP
02132025_Cen-ZF_select_HCT116_session2,57,1,765.3886561244847,621.0,317,2497515,02132025_Cen-ZF_select_HCT116_NT-GFP_CenX-ZF2b_1_MMStack_Pos7_MIP
02132025_Cen-ZF_select_HCT116_session2,58,0,4910.736588620019,4558.0,1387,2221068,02132025_Cen-ZF_select_HCT116_NT-GFP_CenY-ZF4b_1_MMStack_Pos8_MIP
02132025_Cen-ZF_select_HCT116_session2,58,1,1806.4293940397874,871.0,425,2221068,02132025_Cen-ZF_select_HCT116_NT-GFP_CenY-ZF4b_1_MMStack_Pos8_MIP
02132025_Cen-ZF_select_HCT116_session2,59,0,6016.565086040756,5792.0,1832,2511369,02132025_Cen-ZF_select_HCT116_NT-GFP_Cen18-ZF1d_1_MMStack_Pos2_MIP
02132025_Cen-ZF_select_HCT116_session2,59,1,1210.9647048939064,658.0,298,2511369,02132025_Cen-ZF_select_HCT116_NT-GFP_Cen18-ZF1d_1_MMStack_Pos2_MIP
02132025_Cen-ZF_select_HCT116_session2,60,0,4144.135445983312,3681.0,1374,2637509,02132025_Cen-ZF_select_HCT116_NT-GFP_Cen21-ZF1c_1_MMStack_Pos7_MIP
02132025_Cen-ZF_select_HCT116_session2,60,1,1096.099142789655,653.0,360,2637509,02132025_Cen-ZF_select_HCT116_NT-GFP_Cen21-ZF1c_1_MMStack_Pos7_MIP
02132025_Cen-ZF_select_HCT116_session2,61,0,4249.148110715184,4139.0,873,2359883,02132025_Cen-ZF_select_HCT116_NT-GFP_Cen22-ZF1a_1_MMStack_Pos8_MIP
02132025_Cen-ZF_select_HCT116_session2,61,1,1127.5415606958036,728.0,290,2359883,02132025_Cen-ZF_select_HCT116_NT-GFP_Cen22-ZF1a_1_MMStack_Pos8_MIP
02132025_Cen-ZF_select_HCT116_session2,62,0,6805.961748291244,6466.0,2199,2157836,02132025_Cen-ZF_select_HCT116_NT-GFP_Cen16-ZF1a_1_MMStack_Pos3_MIP
02132025_Cen-ZF_select_HCT116_session2,62,1,924.936110445382,769.0,405,2157836,02132025_Cen-ZF_select_HCT116_NT-GFP_Cen16-ZF1a_1_MMStack_Pos3_MIP
02132025_Cen-ZF_select_HCT116_session2,63,0,6428.474163672589,6394.0,2067,2094502,02132025_Cen-ZF_select_HCT116_NT-GFP_Cen19-ZF1c_1_MMStack_Pos8_MIP
02132025_Cen-ZF_select_HCT116_session2,63,1,656.7082774361863,633.0,358,2094502,02132025_Cen-ZF_select_HCT116_NT-GFP_Cen19-ZF1c_1_MMStack_Pos8_MIP
02132025_Cen-ZF_select_HCT116_session2,64,0,5066.146453229964,4837.0,1512,2305730,02132025_Cen-ZF_select_HCT116_NT-GFP_CenY-ZF3c_1_MMStack_Pos0_MIP
02132025_Cen-ZF_select_HCT116_session2,64,1,691.5261506335457,569.0,275,2305730,02132025_Cen-ZF_select_HCT116_NT-GFP_CenY-ZF3c_1_MMStack_Pos0_MIP
02132025_Cen-ZF_select_HCT116_session2,65,0,3682.7592618818685,3326.0,1279,2415023,02132025_Cen-ZF_select_HCT116_NT-GFP_CenY-ZF4b_1_MMStack_Pos11_MIP
02132025_Cen-ZF_select_HCT116_session2,65,1,1462.8794669588528,811.0,342,2415023,02132025_Cen-ZF_select_HCT116_NT-GFP_CenY-ZF4b_1_MMStack_Pos11_MIP
02132025_Cen-ZF_select_HCT116_session2,66,0,3884.632079009044,3604.0,1026,2713558,02132025_Cen-ZF_select_HCT116_NT-GFP_CenX-ZF1c_1_MMStack_Pos7_MIP
02132025_Cen-ZF_select_HCT116_session2,66,1,595.859106503795,569.0,318,2713558,02132025_Cen-ZF_select_HCT116_NT-GFP_CenX-ZF1c_1_MMStack_Pos7_MIP
02132025_Cen-ZF_select_HCT116_session2,67,0,6182.031489489196,5864.0,1185,2376412,02132025_Cen-ZF_select_HCT116_NT-GFP_Cen17-ZF1a_1_MMStack_Pos0_MIP
02132025_Cen-ZF_select_HCT116_session2,67,1,825.2243743929924,660.0,349,2376412,02132025_Cen-ZF_select_HCT116_NT-GFP_Cen17-ZF1a_1_MMStack_Pos0_MIP
02132025_Cen-ZF_select_HCT116_session2,68,0,5108.002955233286,4640.0,1279,2185820,02132025_Cen-ZF_select_HCT116_NT-GFP_CenY-ZF4a_1_MMStack_Pos9_MIP
02132025_Cen-ZF_select_HCT116_session2,68,1,1564.9227318525564,787.0,370,2185820,02132025_Cen-ZF_select_HCT116_NT-GFP_CenY-ZF4a_1_MMStack_Pos9_MIP
02132025_Cen-ZF_select_HCT116_session2,69,0,3954.1786511427417,3684.0,1208,2658922,02132025_Cen-ZF_select_HCT116_NT-GFP_CenX-ZF1c_1_MMStack_Pos10_MIP
02132025_Cen-ZF_select_HCT116_session2,69,1,576.4092607178349,554.0,321,2658922,02132025_Cen-ZF_select_HCT116_NT-GFP_CenX-ZF1c_1_MMStack_Pos10_MIP
02132025_Cen-ZF_select_HCT116_session2,70,0,5093.177267960257,4760.0,1653,2148728,02132025_Cen-ZF_select_HCT116_NT-GFP_CenY-ZF3c_1_MMStack_Pos11_MIP
02132025_Cen-ZF_select_HCT116_session2,70,1,958.4832375909956,688.0,369,2148728,02132025_Cen-ZF_select_HCT116_NT-GFP_CenY-ZF3c_1_MMStack_Pos11_MIP
