experiment,base_name,ROI,channel,x,y,intensity,probability
02062025_AK_FISH_fibroblasts,02062025_AK_FISH_fibroblasts_control_glass_1_MMStack_Pos-5-000_001_MIP,94,2,343,1449,519.34,0.497
02062025_AK_FISH_fibroblasts,02062025_AK_FISH_fibroblasts_control_glass_1_MMStack_Pos-5-000_001_MIP,92,2,1180,1435,661.93,0.511
02062025_AK_FISH_fibroblasts,02062025_AK_FISH_fibroblasts_control_glass_1_MMStack_Pos-5-000_001_MIP,96,2,1501,1420,641.89,0.513
02062025_AK_FISH_fibroblasts,02062025_AK_FISH_fibroblasts_control_glass_1_MMStack_Pos-5-000_001_MIP,95,2,1604,1417,656.37,0.515
02062025_AK_FISH_fibroblasts,02062025_AK_FISH_fibroblasts_control_glass_1_MMStack_Pos-5-000_001_MIP,94,2,339,1412,901.9,0.508
02062025_AK_FISH_fibroblasts,02062025_AK_FISH_fibroblasts_control_glass_1_MMStack_Pos-5-000_001_MIP,89,2,71,1409,482.91,0.508
02062025_AK_FISH_fibroblasts,02062025_AK_FISH_fibroblasts_control_glass_1_MMStack_Pos-5-000_001_MIP,92,2,1232,1407,739.03,0.52
02062025_AK_FISH_fibroblasts,02062025_AK_FISH_fibroblasts_control_glass_1_MMStack_Pos-5-000_001_MIP,90,2,668,1407,754.01,0.541
02062025_AK_FISH_fibroblasts,02062025_AK_FISH_fibroblasts_control_glass_1_MMStack_Pos-5-000_001_MIP,92,2,1219,1403,618.68,0.513
02062025_AK_FISH_fibroblasts,02062025_AK_FISH_fibroblasts_control_glass_1_MMStack_Pos-5-000_001_MIP,88,2,1886,1394,1327.24,0.591
02062025_AK_FISH_fibroblasts,02062025_AK_FISH_fibroblasts_control_glass_1_MMStack_Pos-5-000_001_MIP,96,2,1487,1391,481.24,0.498
02062025_AK_FISH_fibroblasts,02062025_AK_FISH_fibroblasts_control_glass_1_MMStack_Pos-5-000_001_MIP,95,2,1593,1381,574.54,0.514
02062025_AK_FISH_fibroblasts,02062025_AK_FISH_fibroblasts_control_glass_1_MMStack_Pos-5-000_001_MIP,92,2,1216,1379,625.09,0.497
02062025_AK_FISH_fibroblasts,02062025_AK_FISH_fibroblasts_control_glass_1_MMStack_Pos-5-000_001_MIP,92,2,1205,1378,680.55,0.525
02062025_AK_FISH_fibroblasts,02062025_AK_FISH_fibroblasts_control_glass_1_MMStack_Pos-5-000_001_MIP,84,2,435,1377,776.35,0.514
